,Unnamed: 0,date_operation,libelle,montant,solde_avt_ope,categ
277,277,2023-09-18,CARTE XX XX LA LOUVE XX XX,-20.59,2991.24,COURSES
278,278,2023-09-18,CARTE XX XX XX XX,-1.6,2970.65,AUTRE
279,279,2023-09-18,CARTE XX XX XX XX XX,-0.96,2969.05,AUTRE
280,280,2023-09-18,CARTE XX XX XX XX XX,-5.2,2968.09,AUTRE
281,281,2023-09-20,CARTE XX XX TOUPTIPRI XX,-2.56,2962.89,COURSES
282,282,2023-09-20,CARTE XX XX XX XX,-30.37,2960.33,AUTRE
283,283,2023-09-20,CARTE XX XX XX XX XX,-8.6,2929.96,AUTRE
284,284,2023-09-20,CARTE XX XX XX XX XX XX,-2.56,2921.36,AUTRE
285,285,2023-09-21,CARTE XX XX XX XX XX,-10.45,2918.8,AUTRE
286,286,2023-09-22,CARTE XX XX XX XX,-4.0,2908.35,AUTRE
287,287,2023-09-22,CARTE XX XX XX XX XX,-5.6,2904.35,AUTRE
288,288,2023-09-25,PRELEVEMENT XX XX XX XX XX XX XX XX,-593.6,2898.75,AUTRE
289,289,2023-09-25,CARTE XX XX CHEZ LUC XX,-8.52,2305.15,RESTAURANT
290,290,2023-09-25,CARTE XX XX XX XX XX XX,-7.12,2296.63,AUTRE
291,291,2023-09-25,CARTE XX XX XX XX XX,-23.33,2289.51,AUTRE
292,292,2023-09-25,CARTE XX XX XX XX XX,-9.31,2266.18,AUTRE
293,293,2023-09-25,CARTE XX XX XX XX XX XX,-12.0,2256.87,AUTRE
294,294,2023-09-25,CARTE XX XX XX XX,-40.0,2244.87,AUTRE
295,295,2023-09-26,CARTE XX XX TOUPTIPRI XX,-2.93,2204.87,COURSES
296,296,2023-09-26,CARTE XX XX TOUPTIPRI XX,-10.36,2201.94,COURSES
297,297,2023-09-26,RETRAIT XX XX XX,-320.0,2191.58,AUTRE
298,298,2023-09-26,CARTE XX XX XX XX XX,-1.2,1871.58,AUTRE
299,299,2023-09-29,DON XX XX XX XX XX XX XX,-1.76,1870.38,AUTRE
300,300,2023-09-30,XX XX VIREMENT XX XX XX,-36.0,1868.62,AUTRE
301,301,2023-10-02,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1832.62,AUTRE
302,302,2023-10-03,CARTE XX XX LA CCNCF XX,-67.68,2508.62,TRANSPORT
303,303,2023-10-05,CARTE XX XX XX XX XX XX,-10.64,2440.94,AUTRE
304,304,2023-10-05,CARTE XX XX XX XX,-4.8,2430.3,AUTRE
